no of terms 1.000000 
    time 	   actual 	      RK4 
4.020000 	 -0.063838 	 -0.064039 
4.030000 	 -0.063065 	 -0.063268 
4.040000 	 -0.062286 	 -0.062491 
4.050000 	 -0.061500 	 -0.061708 
4.060000 	 -0.060709 	 -0.060918 
4.070000 	 -0.059911 	 -0.060122 
4.080000 	 -0.059107 	 -0.059321 
4.090000 	 -0.058298 	 -0.058513 
4.100000 	 -0.057482 	 -0.057700 
4.110000 	 -0.056661 	 -0.056881 
4.120000 	 -0.055834 	 -0.056056 
4.130000 	 -0.055002 	 -0.055225 
4.140000 	 -0.054164 	 -0.054389 
4.150000 	 -0.053321 	 -0.053548 
4.160000 	 -0.052472 	 -0.052701 
4.170000 	 -0.051618 	 -0.051849 
4.180000 	 -0.050759 	 -0.050992 
4.190000 	 -0.049895 	 -0.050130 
4.200000 	 -0.049026 	 -0.049262 
4.210000 	 -0.048152 	 -0.048390 
4.220000 	 -0.047273 	 -0.047513 
4.230000 	 -0.046390 	 -0.046631 
4.240000 	 -0.045501 	 -0.045745 
4.250000 	 -0.044609 	 -0.044854 
4.260000 	 -0.043712 	 -0.043958 
4.270000 	 -0.042810 	 -0.043058 
4.280000 	 -0.041904 	 -0.042154 
4.290000 	 -0.040994 	 -0.041246 
4.300000 	 -0.040080 	 -0.040333 
4.310000 	 -0.039162 	 -0.039416 
4.320000 	 -0.038240 	 -0.038496 
4.330000 	 -0.037314 	 -0.037571 
4.340000 	 -0.036384 	 -0.036643 
4.350000 	 -0.035451 	 -0.035711 
4.360000 	 -0.034514 	 -0.034776 
4.370000 	 -0.033574 	 -0.033837 
4.380000 	 -0.032630 	 -0.032895 
4.390000 	 -0.031683 	 -0.031949 
4.400000 	 -0.030733 	 -0.031001 
4.410000 	 -0.029780 	 -0.030049 
4.420000 	 -0.028824 	 -0.029094 
4.430000 	 -0.027865 	 -0.028136 
4.440000 	 -0.026903 	 -0.027176 
4.450000 	 -0.025939 	 -0.026212 
4.460000 	 -0.024972 	 -0.025247 
4.470000 	 -0.024002 	 -0.024278 
4.480000 	 -0.023030 	 -0.023307 
4.490000 	 -0.022056 	 -0.022334 
4.500000 	 -0.021080 	 -0.021359 
4.510000 	 -0.020101 	 -0.020381 
4.520000 	 -0.019120 	 -0.019402 
4.530000 	 -0.018138 	 -0.018420 
4.540000 	 -0.017154 	 -0.017437 
4.550000 	 -0.016168 	 -0.016452 
4.560000 	 -0.015180 	 -0.015465 
4.570000 	 -0.014191 	 -0.014476 
4.580000 	 -0.013200 	 -0.013487 
4.590000 	 -0.012208 	 -0.012496 
4.600000 	 -0.011215 	 -0.011503 
4.610000 	 -0.010221 	 -0.010510 
4.620000 	 -0.009226 	 -0.009515 
4.630000 	 -0.008230 	 -0.008520 
4.640000 	 -0.007233 	 -0.007523 
4.650000 	 -0.006235 	 -0.006526 
4.660000 	 -0.005237 	 -0.005528 
4.670000 	 -0.004238 	 -0.004530 
4.680000 	 -0.003238 	 -0.003531 
4.690000 	 -0.002239 	 -0.002532 
4.700000 	 -0.001239 	 -0.001533 
4.710000 	 -0.000239 	 -0.000533 
4.720000 	 0.000761 	 0.000466 
4.730000 	 0.001761 	 0.001466 
4.740000 	 0.002761 	 0.002465 
4.750000 	 0.003760 	 0.003464 
4.760000 	 0.004759 	 0.004463 
4.770000 	 0.005758 	 0.005461 
4.780000 	 0.006756 	 0.006459 
4.790000 	 0.007753 	 0.007456 
4.800000 	 0.008750 	 0.008453 
4.810000 	 0.009746 	 0.009448 
4.820000 	 0.010740 	 0.010443 
4.830000 	 0.011734 	 0.011437 
4.840000 	 0.012726 	 0.012429 
4.850000 	 0.013718 	 0.013420 
4.860000 	 0.014708 	 0.014410 
4.870000 	 0.015696 	 0.015398 
4.880000 	 0.016683 	 0.016385 
4.890000 	 0.017668 	 0.017370 
4.900000 	 0.018651 	 0.018354 
4.910000 	 0.019633 	 0.019336 
4.920000 	 0.020612 	 0.020315 
4.930000 	 0.021590 	 0.021293 
4.940000 	 0.022565 	 0.022269 
4.950000 	 0.023538 	 0.023242 
4.960000 	 0.024509 	 0.024213 
4.970000 	 0.025477 	 0.025182 
4.980000 	 0.026443 	 0.026148 
4.990000 	 0.027406 	 0.027111 
5.000000 	 0.028366 	 0.028072 
5.010000 	 0.029324 	 0.029030 
5.020000 	 0.030278 	 0.029985 
5.030000 	 0.031230 	 0.030937 
5.040000 	 0.032178 	 0.031886 
5.050000 	 0.033123 	 0.032832 
5.060000 	 0.034065 	 0.033774 
5.070000 	 0.035004 	 0.034713 
5.080000 	 0.035939 	 0.035649 
5.090000 	 0.036870 	 0.036581 
5.100000 	 0.037798 	 0.037509 
5.110000 	 0.038722 	 0.038434 
5.120000 	 0.039642 	 0.039355 
5.130000 	 0.040558 	 0.040272 
5.140000 	 0.041470 	 0.041184 
5.150000 	 0.042378 	 0.042093 
5.160000 	 0.043281 	 0.042998 
5.170000 	 0.044181 	 0.043898 
5.180000 	 0.045076 	 0.044794 
5.190000 	 0.045966 	 0.045685 
5.200000 	 0.046852 	 0.046572 
5.210000 	 0.047733 	 0.047454 
5.220000 	 0.048609 	 0.048331 
5.230000 	 0.049481 	 0.049204 
5.240000 	 0.050347 	 0.050072 
5.250000 	 0.051209 	 0.050934 
5.260000 	 0.052065 	 0.051792 
5.270000 	 0.052916 	 0.052644 
5.280000 	 0.053762 	 0.053491 
5.290000 	 0.054602 	 0.054333 
5.300000 	 0.055437 	 0.055169 
5.310000 	 0.056267 	 0.056000 
5.320000 	 0.057091 	 0.056826 
5.330000 	 0.057909 	 0.057645 
5.340000 	 0.058721 	 0.058459 
5.350000 	 0.059528 	 0.059267 
5.360000 	 0.060328 	 0.060069 
5.370000 	 0.061123 	 0.060865 
5.380000 	 0.061911 	 0.061655 
5.390000 	 0.062693 	 0.062439 
5.400000 	 0.063469 	 0.063216 
5.410000 	 0.064239 	 0.063987 
5.420000 	 0.065002 	 0.064752 
5.430000 	 0.065759 	 0.065510 
5.440000 	 0.066509 	 0.066262 
5.450000 	 0.067252 	 0.067007 
5.460000 	 0.067989 	 0.067746 
5.470000 	 0.068719 	 0.068478 
5.480000 	 0.069442 	 0.069202 
5.490000 	 0.070158 	 0.069920 
5.500000 	 0.070867 	 0.070631 
5.510000 	 0.071569 	 0.071335 
5.520000 	 0.072264 	 0.072032 
5.530000 	 0.072951 	 0.072722 
5.540000 	 0.073632 	 0.073404 
5.550000 	 0.074305 	 0.074079 
5.560000 	 0.074970 	 0.074747 
5.570000 	 0.075628 	 0.075407 
5.580000 	 0.076279 	 0.076059 
5.590000 	 0.076921 	 0.076704 
5.600000 	 0.077557 	 0.077342 
5.610000 	 0.078184 	 0.077971 
5.620000 	 0.078804 	 0.078593 
5.630000 	 0.079415 	 0.079207 
5.640000 	 0.080019 	 0.079813 
5.650000 	 0.080615 	 0.080411 
5.660000 	 0.081202 	 0.081001 
5.670000 	 0.081782 	 0.081583 
5.680000 	 0.082353 	 0.082157 
5.690000 	 0.082916 	 0.082723 
5.700000 	 0.083471 	 0.083280 
5.710000 	 0.084018 	 0.083829 
5.720000 	 0.084556 	 0.084370 
5.730000 	 0.085086 	 0.084902 
5.740000 	 0.085607 	 0.085426 
5.750000 	 0.086119 	 0.085941 
5.760000 	 0.086623 	 0.086447 
5.770000 	 0.087119 	 0.086945 
5.780000 	 0.087605 	 0.087435 
5.790000 	 0.088083 	 0.087915 
5.800000 	 0.088552 	 0.088387 
5.810000 	 0.089012 	 0.088850 
5.820000 	 0.089463 	 0.089304 
5.830000 	 0.089906 	 0.089749 
5.840000 	 0.090339 	 0.090185 
5.850000 	 0.090763 	 0.090613 
5.860000 	 0.091179 	 0.091031 
5.870000 	 0.091585 	 0.091440 
5.880000 	 0.091982 	 0.091840 
5.890000 	 0.092369 	 0.092231 
5.900000 	 0.092748 	 0.092612 
5.910000 	 0.093117 	 0.092984 
5.920000 	 0.093477 	 0.093347 
5.930000 	 0.093828 	 0.093701 
5.940000 	 0.094169 	 0.094045 
5.950000 	 0.094501 	 0.094380 
5.960000 	 0.094823 	 0.094706 
5.970000 	 0.095136 	 0.095022 
5.980000 	 0.095439 	 0.095329 
5.990000 	 0.095733 	 0.095626 
6.000000 	 0.096017 	 0.095913 
6.010000 	 0.096292 	 0.096191 
6.020000 	 0.096557 	 0.096459 
6.030000 	 0.096812 	 0.096718 
6.040000 	 0.097058 	 0.096967 
6.050000 	 0.097294 	 0.097207 
6.060000 	 0.097520 	 0.097436 
6.070000 	 0.097736 	 0.097656 
6.080000 	 0.097943 	 0.097866 
6.090000 	 0.098140 	 0.098067 
6.100000 	 0.098327 	 0.098257 
6.110000 	 0.098504 	 0.098438 
6.120000 	 0.098671 	 0.098609 
6.130000 	 0.098829 	 0.098770 
6.140000 	 0.098977 	 0.098922 
6.150000 	 0.099114 	 0.099063 
6.160000 	 0.099242 	 0.099195 
6.170000 	 0.099360 	 0.099316 
6.180000 	 0.099468 	 0.099428 
6.190000 	 0.099566 	 0.099530 
6.200000 	 0.099654 	 0.099621 
6.210000 	 0.099732 	 0.099703 
6.220000 	 0.099800 	 0.099775 
6.230000 	 0.099859 	 0.099837 
6.240000 	 0.099907 	 0.099889 
6.250000 	 0.099945 	 0.099931 
6.260000 	 0.099973 	 0.099963 
6.270000 	 0.099991 	 0.099985 
6.280000 	 0.099999 	 0.099997 
6.290000 	 0.099998 	 0.100000 
6.300000 	 0.099986 	 0.099992 
6.310000 	 0.099964 	 0.099974 
6.320000 	 0.099932 	 0.099946 
6.330000 	 0.099890 	 0.099908 
6.340000 	 0.099839 	 0.099860 
6.350000 	 0.099777 	 0.099803 
6.360000 	 0.099705 	 0.099735 
6.370000 	 0.099623 	 0.099657 
6.380000 	 0.099532 	 0.099570 
6.390000 	 0.099430 	 0.099472 
6.400000 	 0.099318 	 0.099365 
6.410000 	 0.099197 	 0.099247 
6.420000 	 0.099066 	 0.099120 
6.430000 	 0.098924 	 0.098983 
6.440000 	 0.098773 	 0.098836 
6.450000 	 0.098612 	 0.098679 
6.460000 	 0.098441 	 0.098512 
6.470000 	 0.098260 	 0.098335 
6.480000 	 0.098069 	 0.098149 
6.490000 	 0.097869 	 0.097952 
6.500000 	 0.097659 	 0.097746 
6.510000 	 0.097439 	 0.097530 
6.520000 	 0.097209 	 0.097305 
6.530000 	 0.096970 	 0.097070 
6.540000 	 0.096720 	 0.096825 
6.550000 	 0.096462 	 0.096570 
6.560000 	 0.096193 	 0.096306 
6.570000 	 0.095915 	 0.096032 
6.580000 	 0.095627 	 0.095748 
6.590000 	 0.095330 	 0.095455 
6.600000 	 0.095023 	 0.095153 
6.610000 	 0.094707 	 0.094841 
6.620000 	 0.094381 	 0.094519 
6.630000 	 0.094046 	 0.094188 
6.640000 	 0.093701 	 0.093848 
6.650000 	 0.093347 	 0.093498 
6.660000 	 0.092984 	 0.093139 
6.670000 	 0.092612 	 0.092771 
6.680000 	 0.092230 	 0.092393 
6.690000 	 0.091839 	 0.092006 
6.700000 	 0.091438 	 0.091610 
6.710000 	 0.091029 	 0.091205 
6.720000 	 0.090610 	 0.090791 
6.730000 	 0.090183 	 0.090367 
6.740000 	 0.089746 	 0.089935 
6.750000 	 0.089301 	 0.089493 
6.760000 	 0.088846 	 0.089043 
6.770000 	 0.088383 	 0.088584 
6.780000 	 0.087911 	 0.088116 
6.790000 	 0.087430 	 0.087639 
6.800000 	 0.086940 	 0.087153 
6.810000 	 0.086441 	 0.086659 
6.820000 	 0.085934 	 0.086156 
6.830000 	 0.085419 	 0.085644 
6.840000 	 0.084894 	 0.085124 
6.850000 	 0.084362 	 0.084596 
6.860000 	 0.083820 	 0.084059 
6.870000 	 0.083271 	 0.083513 
6.880000 	 0.082713 	 0.082959 
6.890000 	 0.082147 	 0.082397 
6.900000 	 0.081573 	 0.081827 
6.910000 	 0.080990 	 0.081248 
