#upper limit 	 trapezoidal 	 simpsons 	 guass_quadrature 
3.825552 	 8.690558 	 8.690584 	 8.691254 
3.835552 	 8.735540 	 8.735563 	 8.736236 
3.845552 	 8.780510 	 8.780535 	 8.781209 
3.855552 	 8.825471 	 8.825492 	 8.826175 
3.865552 	 8.870420 	 8.870442 	 8.871127 
3.875552 	 8.915352 	 8.915381 	 8.916067 
3.885552 	 8.960277 	 8.960297 	 8.960990 
3.895552 	 9.005177 	 9.005206 	 9.005894 
3.905552 	 9.050056 	 9.050078 	 9.050777 
3.915552 	 9.094921 	 9.094943 	 9.095638 
3.925552 	 9.139750 	 9.139773 	 9.140473 
3.935552 	 9.184544 	 9.184576 	 9.185282 
3.945552 	 9.229328 	 9.229351 	 9.230057 
3.955552 	 9.274069 	 9.274097 	 9.274802 
3.965552 	 9.318772 	 9.318794 	 9.319510 
3.975552 	 9.363444 	 9.363464 	 9.364182 
3.985552 	 9.408069 	 9.408092 	 9.408813 
3.995552 	 9.452648 	 9.452674 	 9.453401 
4.005552 	 9.497190 	 9.497220 	 9.497943 
4.015553 	 9.541690 	 9.541709 	 9.542438 
4.025553 	 9.586124 	 9.586153 	 9.586883 
4.035553 	 9.630513 	 9.630536 	 9.631272 
4.045553 	 9.674838 	 9.674872 	 9.675607 
4.055553 	 9.719115 	 9.719142 	 9.719882 
4.065554 	 9.763328 	 9.763350 	 9.764097 
4.075554 	 9.807471 	 9.807495 	 9.808245 
4.085554 	 9.851552 	 9.851574 	 9.852325 
4.095554 	 9.895554 	 9.895583 	 9.896337 
4.105555 	 9.939487 	 9.939511 	 9.940273 
4.115555 	 9.983346 	 9.983371 	 9.984133 
4.125555 	 10.027123 	 10.027152 	 10.027912 
4.135555 	 10.070806 	 10.070840 	 10.071610 
4.145555 	 10.114427 	 10.114456 	 10.115222 
4.155556 	 10.157947 	 10.157974 	 10.158744 
4.165556 	 10.201373 	 10.201404 	 10.202175 
4.175556 	 10.244703 	 10.244729 	 10.245509 
4.185556 	 10.287934 	 10.287961 	 10.288744 
4.195557 	 10.331063 	 10.331089 	 10.331876 
4.205557 	 10.374086 	 10.374117 	 10.374903 
4.215557 	 10.417002 	 10.417028 	 10.417822 
4.225557 	 10.459799 	 10.459831 	 10.460627 
4.235558 	 10.502487 	 10.502522 	 10.503313 
4.245558 	 10.545053 	 10.545082 	 10.545880 
4.255558 	 10.587492 	 10.587523 	 10.588325 
4.265558 	 10.629812 	 10.629835 	 10.630641 
4.275558 	 10.671981 	 10.672014 	 10.672826 
4.285559 	 10.714030 	 10.714066 	 10.714875 
